method,risk,n,progress_to_goal_mean,matched_progress_min_clearance_mean_m,matched_progress_collision_rate
Ours (ESDF),high,164,0.6688022337356971,0.12784071371769928,0.14634146341463414
Ours (ESDF),mid,161,0.7768957666526018,0.09175981894561909,0.2484472049689441
Ours (ESDF),low,161,0.6465333974705011,0.09764701154429863,0.2608695652173913
Ours (Semantic ESDF),high,164,0.53356041017496,0.13376707791917994,0.11585365853658537
Ours (Semantic ESDF),mid,161,0.6312490573409157,0.09320112690343062,0.2236024844720497
Ours (Semantic ESDF),low,161,0.6465333974705011,0.09764701154429863,0.2608695652173913
