method,n_total,computation_time_mean_s,control_difference_mean,progress_to_goal_mean,minimum_distance_to_mesh_mean,minimum_clearance_to_mesh_mean,collision_rate
3DGS,486,0.14914098145473756,0.0849238924965132,0.35962168481374374,0.11517863398454967,0.08517863398454964,0.3148148148148148
Ours ESDF,486,0.0021663554096910133,0.12556066963476348,0.697233871926901,0.042545524978305334,0.012545524978305331,0.6502057613168725
Ours ESDF semantic-aware,486,0.002148875741331558,0.07090151188452598,0.6033474948422459,0.05564767874267903,0.025647678742679026,0.5493827160493827
