method,n_total,progress_mean,collision_rate_full,min_clearance_mean_full_m,matched_progress_collision_rate,matched_progress_min_clearance_mean_m,distance_normalized_infraction_ratio,clearance_violation_per_meter_m,total_path_length_m
SaferSplat,486,0.35962168481374374,0.3148148148148148,0.085103431678564,0.21604938271604937,0.10113006679757319,0.07212008408358553,0.0010890313219086222,291.3533550972435
Ours (ESDF),486,0.697233871926901,0.6502057613168725,0.012381043599224642,0.21810699588477367,0.10588554888596594,0.07476646128774228,0.0010823534747864713,962.1791006468761
Ours (Semantic ESDF),486,0.6033474948422459,0.5493827160493827,0.025491273269545586,0.19958847736625515,0.10836286228154307,0.10233698096782665,0.0014960661074752933,577.6087543164053
